college_name,district,tier,branch,category,cutoff,fees,placement_rate
A R S College of Engineering,Chennai,Tier 2,CSE,BC,183.0,85700,68
A R S College of Engineering,Chennai,Tier 2,IT,BC,181.5,86035,68
A R S College of Engineering,Chennai,Tier 2,ECE,BC,180.5,86930,60
A R S College of Engineering,Chennai,Tier 2,EEE,BC,178.5,85647,59
A R S College of Engineering,Chennai,Tier 2,MECH,BC,176.0,83288,56
A R S College of Engineering,Chennai,Tier 2,CIVIL,BC,175.0,81552,52
A R S College of Engineering,Chennai,Tier 2,AI & DS,BC,182.0,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & ML,BC,182.0,88352,67
A V S Engineering College,Salem,Tier 2,CSE,BC,184.5,116777,84
A V S Engineering College,Salem,Tier 2,IT,BC,183.5,115938,83
A V S Engineering College,Salem,Tier 2,ECE,BC,181.0,117197,77
A V S Engineering College,Salem,Tier 2,EEE,BC,179.0,114975,73
A V S Engineering College,Salem,Tier 2,MECH,BC,179.0,115380,71
A V S Engineering College,Salem,Tier 2,CIVIL,BC,175.0,112618,70
A V S Engineering College,Salem,Tier 2,AI & DS,BC,183.0,117923,82
A V S Engineering College,Salem,Tier 2,AI & ML,BC,184.0,118319,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,BC,182.5,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,BC,181.0,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,BC,180.0,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,BC,177.5,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,BC,176.5,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,BC,175.5,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,BC,181.5,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,BC,181.5,98803,81
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,BC,188.5,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,BC,187.5,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,BC,185.0,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,BC,184.5,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,BC,182.5,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,BC,182.0,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,BC,187.5,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,BC,187.5,121707,77
A.R. Engineering College,Karur,Tier 2,CSE,BC,186.5,114485,68
A.R. Engineering College,Karur,Tier 2,IT,BC,185.0,113724,66
A.R. Engineering College,Karur,Tier 2,ECE,BC,183.0,112979,61
A.R. Engineering College,Karur,Tier 2,EEE,BC,181.0,112481,58
A.R. Engineering College,Karur,Tier 2,MECH,BC,180.0,112891,54
A.R. Engineering College,Karur,Tier 2,CIVIL,BC,179.5,111570,52
A.R. Engineering College,Karur,Tier 2,AI & DS,BC,185.5,115292,67
A.R. Engineering College,Karur,Tier 2,AI & ML,BC,185.5,115325,66
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,CSE,BC,181.0,92647,74
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,IT,BC,179.5,91317,72
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,ECE,BC,177.5,92035,70
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,EEE,BC,177.0,91072,66
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,MECH,BC,175.5,88439,63
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,CIVIL,BC,172.5,89714,59
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,AI & DS,BC,180.0,93898,72
A.R.J. College of Engineering and Technology,Tiruchirappalli,Tier 2,AI & ML,BC,180.0,92434,73
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,CSE,BC,186.5,102749,73
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,IT,BC,184.5,104352,71
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,ECE,BC,183.0,102603,66
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,EEE,BC,181.0,101561,64
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,MECH,BC,180.0,101688,63
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,CIVIL,BC,177.5,100567,58
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,AI & DS,BC,185.5,105916,73
A.V.C. College of Engineering,Mayiladuthurai,Tier 2,AI & ML,BC,185.5,105336,71
Aalim Muhammed Salegh College of Engineering,Chennai,Tier 3,CSE,BC,175.0,90991,70
Aalim Muhammed Salegh College of Engineering,Chennai,Tier 3,IT,BC,173.0,90414,68
