college_name,district,tier,branch,category,cutoff,fees,placement_rate
A R S College of Engineering,Chennai,Tier 2,CSE,OC,185.5,85700,68
A R S College of Engineering,Chennai,Tier 2,CSE,BC,183.0,85700,68
A R S College of Engineering,Chennai,Tier 2,CSE,BCM,182.4,85700,68
A R S College of Engineering,Chennai,Tier 2,CSE,MBC,179.5,85700,68
A R S College of Engineering,Chennai,Tier 2,CSE,SC,177.9,85700,68
A R S College of Engineering,Chennai,Tier 2,CSE,ST,173.1,85700,68
A R S College of Engineering,Chennai,Tier 2,IT,OC,184.0,86035,68
A R S College of Engineering,Chennai,Tier 2,IT,BC,181.5,86035,68
A R S College of Engineering,Chennai,Tier 2,IT,BCM,180.8,86035,68
A R S College of Engineering,Chennai,Tier 2,IT,MBC,179.4,86035,68
A R S College of Engineering,Chennai,Tier 2,IT,SC,172.0,86035,68
A R S College of Engineering,Chennai,Tier 2,IT,ST,172.9,86035,68
A R S College of Engineering,Chennai,Tier 2,ECE,OC,182.3,86930,60
A R S College of Engineering,Chennai,Tier 2,ECE,BC,180.5,86930,60
A R S College of Engineering,Chennai,Tier 2,ECE,BCM,179.9,86930,60
A R S College of Engineering,Chennai,Tier 2,ECE,MBC,177.2,86930,60
A R S College of Engineering,Chennai,Tier 2,ECE,SC,173.0,86930,60
A R S College of Engineering,Chennai,Tier 2,ECE,ST,172.3,86930,60
A R S College of Engineering,Chennai,Tier 2,EEE,OC,180.8,85647,59
A R S College of Engineering,Chennai,Tier 2,EEE,BC,178.5,85647,59
A R S College of Engineering,Chennai,Tier 2,EEE,BCM,177.6,85647,59
A R S College of Engineering,Chennai,Tier 2,EEE,MBC,176.5,85647,59
A R S College of Engineering,Chennai,Tier 2,EEE,SC,172.4,85647,59
A R S College of Engineering,Chennai,Tier 2,EEE,ST,166.4,85647,59
A R S College of Engineering,Chennai,Tier 2,MECH,OC,178.7,83288,56
A R S College of Engineering,Chennai,Tier 2,MECH,BC,176.0,83288,56
A R S College of Engineering,Chennai,Tier 2,MECH,BCM,175.4,83288,56
A R S College of Engineering,Chennai,Tier 2,MECH,MBC,172.1,83288,56
A R S College of Engineering,Chennai,Tier 2,MECH,SC,167.5,83288,56
A R S College of Engineering,Chennai,Tier 2,MECH,ST,165.6,83288,56
A R S College of Engineering,Chennai,Tier 2,CIVIL,OC,177.0,81552,52
A R S College of Engineering,Chennai,Tier 2,CIVIL,BC,175.0,81552,52
A R S College of Engineering,Chennai,Tier 2,CIVIL,BCM,174.1,81552,52
A R S College of Engineering,Chennai,Tier 2,CIVIL,MBC,171.8,81552,52
A R S College of Engineering,Chennai,Tier 2,CIVIL,SC,169.5,81552,52
A R S College of Engineering,Chennai,Tier 2,CIVIL,ST,166.3,81552,52
A R S College of Engineering,Chennai,Tier 2,AI & DS,OC,184.7,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & DS,BC,182.0,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & DS,BCM,181.0,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & DS,MBC,179.2,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & DS,SC,173.4,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & DS,ST,170.2,87680,68
A R S College of Engineering,Chennai,Tier 2,AI & ML,OC,184.3,88352,67
A R S College of Engineering,Chennai,Tier 2,AI & ML,BC,182.0,88352,67
A R S College of Engineering,Chennai,Tier 2,AI & ML,BCM,181.1,88352,67
A R S College of Engineering,Chennai,Tier 2,AI & ML,MBC,178.8,88352,67
A R S College of Engineering,Chennai,Tier 2,AI & ML,SC,172.9,88352,67
A R S College of Engineering,Chennai,Tier 2,AI & ML,ST,169.7,88352,67
A V S Engineering College,Salem,Tier 2,CSE,OC,187.1,116777,84
A V S Engineering College,Salem,Tier 2,CSE,BC,184.5,116777,84
A V S Engineering College,Salem,Tier 2,CSE,BCM,183.9,116777,84
A V S Engineering College,Salem,Tier 2,CSE,MBC,182.3,116777,84
A V S Engineering College,Salem,Tier 2,CSE,SC,179.3,116777,84
A V S Engineering College,Salem,Tier 2,CSE,ST,174.9,116777,84
A V S Engineering College,Salem,Tier 2,IT,OC,185.3,115938,83
A V S Engineering College,Salem,Tier 2,IT,BC,183.5,115938,83
A V S Engineering College,Salem,Tier 2,IT,BCM,182.7,115938,83
A V S Engineering College,Salem,Tier 2,IT,MBC,180.8,115938,83
A V S Engineering College,Salem,Tier 2,IT,SC,178.0,115938,83
A V S Engineering College,Salem,Tier 2,IT,ST,173.6,115938,83
A V S Engineering College,Salem,Tier 2,ECE,OC,183.1,117197,77
A V S Engineering College,Salem,Tier 2,ECE,BC,181.0,117197,77
A V S Engineering College,Salem,Tier 2,ECE,BCM,180.0,117197,77
A V S Engineering College,Salem,Tier 2,ECE,MBC,177.7,117197,77
A V S Engineering College,Salem,Tier 2,ECE,SC,175.0,117197,77
A V S Engineering College,Salem,Tier 2,ECE,ST,171.1,117197,77
A V S Engineering College,Salem,Tier 2,EEE,OC,181.4,114975,73
A V S Engineering College,Salem,Tier 2,EEE,BC,179.0,114975,73
A V S Engineering College,Salem,Tier 2,EEE,BCM,178.4,114975,73
A V S Engineering College,Salem,Tier 2,EEE,MBC,176.2,114975,73
A V S Engineering College,Salem,Tier 2,EEE,SC,173.1,114975,73
A V S Engineering College,Salem,Tier 2,EEE,ST,165.9,114975,73
A V S Engineering College,Salem,Tier 2,MECH,OC,182.0,115380,71
A V S Engineering College,Salem,Tier 2,MECH,BC,179.0,115380,71
A V S Engineering College,Salem,Tier 2,MECH,BCM,178.2,115380,71
A V S Engineering College,Salem,Tier 2,MECH,MBC,175.3,115380,71
A V S Engineering College,Salem,Tier 2,MECH,SC,170.8,115380,71
A V S Engineering College,Salem,Tier 2,MECH,ST,167.1,115380,71
A V S Engineering College,Salem,Tier 2,CIVIL,OC,177.7,112618,70
A V S Engineering College,Salem,Tier 2,CIVIL,BC,175.0,112618,70
A V S Engineering College,Salem,Tier 2,CIVIL,BCM,174.3,112618,70
A V S Engineering College,Salem,Tier 2,CIVIL,MBC,172.5,112618,70
A V S Engineering College,Salem,Tier 2,CIVIL,SC,168.9,112618,70
A V S Engineering College,Salem,Tier 2,CIVIL,ST,166.8,112618,70
A V S Engineering College,Salem,Tier 2,AI & DS,OC,184.8,117923,82
A V S Engineering College,Salem,Tier 2,AI & DS,BC,183.0,117923,82
A V S Engineering College,Salem,Tier 2,AI & DS,BCM,182.3,117923,82
A V S Engineering College,Salem,Tier 2,AI & DS,MBC,179.7,117923,82
A V S Engineering College,Salem,Tier 2,AI & DS,SC,173.3,117923,82
A V S Engineering College,Salem,Tier 2,AI & DS,ST,168.9,117923,82
A V S Engineering College,Salem,Tier 2,AI & ML,OC,186.1,118319,82
A V S Engineering College,Salem,Tier 2,AI & ML,BC,184.0,118319,82
A V S Engineering College,Salem,Tier 2,AI & ML,BCM,183.4,118319,82
A V S Engineering College,Salem,Tier 2,AI & ML,MBC,181.5,118319,82
A V S Engineering College,Salem,Tier 2,AI & ML,SC,174.4,118319,82
A V S Engineering College,Salem,Tier 2,AI & ML,ST,172.8,118319,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,OC,184.8,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,BC,182.5,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,BCM,181.6,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,MBC,179.7,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,SC,176.2,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CSE,ST,170.4,97141,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,OC,182.8,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,BC,181.0,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,BCM,180.5,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,MBC,178.9,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,SC,171.0,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,IT,ST,169.4,96651,82
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,OC,181.7,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,BC,180.0,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,BCM,179.3,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,MBC,177.9,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,SC,171.9,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,ECE,ST,166.5,96888,78
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,OC,179.6,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,BC,177.5,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,BCM,176.5,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,MBC,173.8,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,SC,167.5,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,EEE,ST,165.8,95335,74
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,OC,178.0,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,BC,176.5,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,BCM,175.7,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,MBC,174.0,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,SC,167.9,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,MECH,ST,163.7,95154,73
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,OC,178.0,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,BC,175.5,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,BCM,174.8,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,MBC,171.6,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,SC,169.9,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,CIVIL,ST,164.5,94950,71
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,OC,184.3,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,BC,181.5,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,BCM,180.9,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,MBC,177.7,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,SC,175.2,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & DS,ST,170.0,98169,84
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,OC,184.3,98803,81
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,BC,181.5,98803,81
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,BCM,180.7,98803,81
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,MBC,179.2,98803,81
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,SC,175.0,98803,81
A.K.T. Memorial College of Engineering and Technology,Salem,Tier 2,AI & ML,ST,169.0,98803,81
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,OC,191.1,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,BC,188.5,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,BCM,187.7,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,MBC,186.5,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,SC,180.8,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CSE,ST,175.0,119721,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,OC,189.5,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,BC,187.5,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,BCM,186.6,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,MBC,183.8,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,SC,182.4,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,IT,ST,173.0,120363,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,OC,187.0,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,BC,185.0,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,BCM,184.0,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,MBC,182.8,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,SC,179.7,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,ECE,ST,170.9,117480,72
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,OC,186.7,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,BC,184.5,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,BCM,183.6,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,MBC,182.2,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,SC,179.2,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,EEE,ST,171.2,118838,67
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,OC,184.7,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,BC,182.5,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,BCM,181.6,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,MBC,179.7,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,SC,174.8,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,MECH,ST,172.6,115549,65
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,OC,183.8,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,BC,182.0,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,BCM,181.4,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,MBC,179.4,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,SC,174.3,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,CIVIL,ST,168.9,114812,64
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,OC,190.5,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,BC,187.5,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,BCM,186.7,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,MBC,185.3,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,SC,179.3,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & DS,ST,176.4,120639,78
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,OC,189.3,121707,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,BC,187.5,121707,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,BCM,186.9,121707,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,MBC,185.1,121707,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,SC,180.8,121707,77
A.R. College of Engineering and Technology,Tirunelveli,Tier 2,AI & ML,ST,175.4,121707,77
A.R. Engineering College,Karur,Tier 2,CSE,OC,188.1,114485,68
A.R. Engineering College,Karur,Tier 2,CSE,BC,186.5,114485,68
A.R. Engineering College,Karur,Tier 2,CSE,BCM,185.5,114485,68
A.R. Engineering College,Karur,Tier 2,CSE,MBC,182.8,114485,68
A.R. Engineering College,Karur,Tier 2,CSE,SC,178.3,114485,68
A.R. Engineering College,Karur,Tier 2,CSE,ST,176.9,114485,68
A.R. Engineering College,Karur,Tier 2,IT,OC,186.6,113724,66
A.R. Engineering College,Karur,Tier 2,IT,BC,185.0,113724,66
A.R. Engineering College,Karur,Tier 2,IT,BCM,184.4,113724,66
A.R. Engineering College,Karur,Tier 2,IT,MBC,182.7,113724,66
A.R. Engineering College,Karur,Tier 2,IT,SC,178.8,113724,66
A.R. Engineering College,Karur,Tier 2,IT,ST,172.3,113724,66
A.R. Engineering College,Karur,Tier 2,ECE,OC,185.9,112979,61
A.R. Engineering College,Karur,Tier 2,ECE,BC,183.0,112979,61
A.R. Engineering College,Karur,Tier 2,ECE,BCM,182.1,112979,61
A.R. Engineering College,Karur,Tier 2,ECE,MBC,179.4,112979,61
A.R. Engineering College,Karur,Tier 2,ECE,SC,175.1,112979,61
A.R. Engineering College,Karur,Tier 2,ECE,ST,171.7,112979,61
A.R. Engineering College,Karur,Tier 2,EEE,OC,182.8,112481,58
A.R. Engineering College,Karur,Tier 2,EEE,BC,181.0,112481,58
A.R. Engineering College,Karur,Tier 2,EEE,BCM,180.3,112481,58
A.R. Engineering College,Karur,Tier 2,EEE,MBC,178.1,112481,58
A.R. Engineering College,Karur,Tier 2,EEE,SC,175.5,112481,58
A.R. Engineering College,Karur,Tier 2,EEE,ST,170.0,112481,58
A.R. Engineering College,Karur,Tier 2,MECH,OC,182.6,112891,54
A.R. Engineering College,Karur,Tier 2,MECH,BC,180.0,112891,54
